Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
CONV2D_0,225,225,3,3,3,32,2,
DEPTHWISE_CONV2D_1,114,114,3,3,32,1,1,
CONV2D_2,112,112,1,1,32,64,1,
DEPTHWISE_CONV2D_3,113,113,3,3,64,1,2,
CONV2D_4,56,56,1,1,64,128,1,
DEPTHWISE_CONV2D_5,58,58,3,3,128,1,1,
CONV2D_6,56,56,1,1,128,128,1,
DEPTHWISE_CONV2D_7,57,57,3,3,128,1,2,
CONV2D_8,28,28,1,1,128,256,1,
DEPTHWISE_CONV2D_9,30,30,3,3,256,1,1,
CONV2D_10,28,28,1,1,256,256,1,
DEPTHWISE_CONV2D_11,29,29,3,3,256,1,2,
CONV2D_12,14,14,1,1,256,512,1,
DEPTHWISE_CONV2D_13,16,16,3,3,512,1,1,
CONV2D_14,14,14,1,1,512,512,1,
DEPTHWISE_CONV2D_15,16,16,3,3,512,1,1,
CONV2D_16,14,14,1,1,512,512,1,
DEPTHWISE_CONV2D_17,16,16,3,3,512,1,1,
CONV2D_18,14,14,1,1,512,512,1,
DEPTHWISE_CONV2D_19,16,16,3,3,512,1,1,
CONV2D_20,14,14,1,1,512,512,1,
DEPTHWISE_CONV2D_21,16,16,3,3,512,1,1,
CONV2D_22,14,14,1,1,512,512,1,
DEPTHWISE_CONV2D_23,15,15,3,3,512,1,2,
CONV2D_24,7,7,1,1,512,1024,1,
DEPTHWISE_CONV2D_25,9,9,3,3,1024,1,1,
CONV2D_26,7,7,1,1,1024,1024,1,
CONV2D_28,1,1,1,1,1024,1000,1,
