kind,glb_kb,cycles,accesses,seconds
baseline_25_75,64,524531,1046694,52.5
baseline_50_50,64,524531,1044638,49.5
baseline_75_25,64,524531,1039866,49.5
smm_accesses,64,524531,5453068,54.7
smm_latency,64,524531,4652070,49.7
baseline_25_75,256,524531,1030325,47.0
baseline_50_50,256,524531,998035,45.7
baseline_75_25,256,524531,1016638,44.2
smm_accesses,256,524531,5453068,45.7
smm_latency,256,524531,4652070,45.9
baseline_25_75,1024,524531,1017730,44.6
baseline_50_50,1024,524531,869659,45.2
baseline_75_25,1024,524531,949173,46.4
smm_accesses,1024,524531,4439397,46.6
smm_latency,1024,524531,3891444,45.7
