phase,model,combo_id,version,repeat_idx,array_size,sram_kb,interface_bandwidth,dataflow,ifmap_offset,filter_offset,ofmap_offset,rng_seed,wall_seconds,returncode,status,timed_out,total_cycles,total_cycles_incl_prefetch,num_layers_reported,topology_file,config_path,output_dir,log_path,numpy_version,hostname,python_version,cpu_model,timestamp
main_grid,resnet18,anchor,vanilla,1,32,64,CALC,ws,0,10000000,20000000,40,307.208,0,ok,False,2519815,2603685,21,/data/grizos/SCALE-Sim/topologies/conv_nets/Resnet18.csv,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/cfgs/resnet18__anchor__vanilla__rep1.cfg,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/runs/vanilla/resnet18__anchor__vanilla__rep1,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/logs/vanilla/resnet18__anchor__vanilla__rep1.log,1.24.4,wil,3.8.10,x86_64,2026-09-22T17:16:05.358875+00:00
main_grid,resnet18,anchor,optimized,1,32,64,CALC,ws,0,10000000,20000000,40,187.909,0,ok,False,2519815,2603685,21,/data/grizos/Scale-Sim-SPM/topologies/conv_nets/Resnet18.csv,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/cfgs/resnet18__anchor__optimized__rep1.cfg,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/runs/optimized/resnet18__anchor__optimized__rep1,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/logs/optimized/resnet18__anchor__optimized__rep1.log,1.24.4,wil,3.8.10,x86_64,2026-09-22T17:19:13.530769+00:00
main_grid,googlenet,grid_a64_s16_user,vanilla,1,64,16,USER,ws,0,10000000,20000000,40,3600.129,,timeout,True,,,,/data/grizos/SCALE-Sim/topologies/conv_nets/Googlenet.csv,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/cfgs/googlenet__grid_a64_s16_user__vanilla__rep1.cfg,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/runs/vanilla/googlenet__grid_a64_s16_user__vanilla__rep1,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/logs/vanilla/googlenet__grid_a64_s16_user__vanilla__rep1.log,1.24.4,wil,3.8.10,x86_64,2026-09-22T18:23:56.665702+00:00
main_grid,googlenet,anchor,vanilla,1,32,64,CALC,ws,0,10000000,20000000,40,250.861,0,ok,False,1987921,2214019,58,/data/grizos/SCALE-Sim/topologies/conv_nets/Googlenet.csv,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/cfgs/googlenet__anchor__vanilla__rep1.cfg,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/runs/vanilla/googlenet__anchor__vanilla__rep1,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/logs/vanilla/googlenet__anchor__vanilla__rep1.log,1.24.4,wil,3.8.10,x86_64,2026-09-22T21:24:41.409341+00:00
main_grid,googlenet,anchor,optimized,1,32,64,CALC,ws,0,10000000,20000000,40,152.725,0,ok,False,1987921,2214019,58,/data/grizos/Scale-Sim-SPM/topologies/conv_nets/Googlenet.csv,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/cfgs/googlenet__anchor__optimized__rep1.cfg,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/runs/optimized/googlenet__anchor__optimized__rep1,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/logs/optimized/googlenet__anchor__optimized__rep1.log,1.24.4,wil,3.8.10,x86_64,2026-09-22T21:27:14.398207+00:00
main_grid,googlenet,grid_a16_s16_user,vanilla,1,16,16,USER,ws,0,10000000,20000000,40,7200.169,,timeout,True,,,,/data/grizos/SCALE-Sim/topologies/conv_nets/Googlenet.csv,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/cfgs/googlenet__grid_a16_s16_user__vanilla__rep1.cfg,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/runs/vanilla/googlenet__grid_a16_s16_user__vanilla__rep1,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/logs/vanilla/googlenet__grid_a16_s16_user__vanilla__rep1.log,1.24.4,wil,3.8.10,x86_64,2026-09-22T23:27:14.814255+00:00
main_grid,googlenet,grid_a16_s16_user,optimized,1,16,16,USER,ws,0,10000000,20000000,40,950.345,0,ok,False,162009849,162102065,58,/data/grizos/Scale-Sim-SPM/topologies/conv_nets/Googlenet.csv,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/cfgs/googlenet__grid_a16_s16_user__optimized__rep1.cfg,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/runs/optimized/googlenet__grid_a16_s16_user__optimized__rep1,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/logs/optimized/googlenet__grid_a16_s16_user__optimized__rep1.log,1.24.4,wil,3.8.10,x86_64,2026-09-22T23:43:06.159869+00:00
main_grid,googlenet,grid_a16_s32_user,vanilla,1,16,32,USER,ws,0,10000000,20000000,40,2104.973,0,ok,False,36532013,36711558,58,/data/grizos/SCALE-Sim/topologies/conv_nets/Googlenet.csv,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/cfgs/googlenet__grid_a16_s32_user__vanilla__rep1.cfg,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/runs/vanilla/googlenet__grid_a16_s32_user__vanilla__rep1,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/logs/vanilla/googlenet__grid_a16_s32_user__vanilla__rep1.log,1.24.4,wil,3.8.10,x86_64,2026-09-23T00:18:13.422651+00:00
main_grid,googlenet,grid_a16_s32_user,optimized,1,16,32,USER,ws,0,10000000,20000000,40,516.301,0,ok,False,36532013,36711558,58,/data/grizos/Scale-Sim-SPM/topologies/conv_nets/Googlenet.csv,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/cfgs/googlenet__grid_a16_s32_user__optimized__rep1.cfg,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/runs/optimized/googlenet__grid_a16_s32_user__optimized__rep1,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/logs/optimized/googlenet__grid_a16_s32_user__optimized__rep1.log,1.24.4,wil,3.8.10,x86_64,2026-09-23T00:26:50.539071+00:00
main_grid,googlenet,grid_a16_s64_user,vanilla,1,16,64,USER,ws,0,10000000,20000000,40,929.439,0,ok,False,17786098,18166428,58,/data/grizos/SCALE-Sim/topologies/conv_nets/Googlenet.csv,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/cfgs/googlenet__grid_a16_s64_user__vanilla__rep1.cfg,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/runs/vanilla/googlenet__grid_a16_s64_user__vanilla__rep1,/data/grizos/Scale-Sim-SPM/benchmarks/results_new/logs/vanilla/googlenet__grid_a16_s64_user__vanilla__rep1.log,1.24.4,wil,3.8.10,x86_64,2026-09-23T00:42:20.795301+00:00
