Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
CONV2D_0,225,225,3,3,3,32,2,
DEPTHWISE_CONV2D_1,114,114,3,3,32,1,1,
CONV2D_2,112,112,1,1,32,16,1,
CONV2D_3,112,112,1,1,16,48,1,
DEPTHWISE_CONV2D_4,113,113,3,3,48,1,2,
CONV2D_5,56,56,1,1,48,24,1,
CONV2D_6,56,56,1,1,24,72,1,
DEPTHWISE_CONV2D_7,58,58,3,3,72,1,1,
CONV2D_8,56,56,1,1,72,24,1,
CONV2D_9,56,56,1,1,24,72,1,
DEPTHWISE_CONV2D_10,58,58,3,3,72,1,1,
CONV2D_11,56,56,1,1,72,24,1,
CONV2D_12,56,56,1,1,24,72,1,
DEPTHWISE_CONV2D_13,59,59,5,5,72,1,2,
CONV2D_14,28,28,1,1,72,40,1,
CONV2D_15,28,28,1,1,40,120,1,
DEPTHWISE_CONV2D_16,32,32,5,5,120,1,1,
CONV2D_17,28,28,1,1,120,40,1,
CONV2D_18,28,28,1,1,40,120,1,
DEPTHWISE_CONV2D_19,32,32,5,5,120,1,1,
CONV2D_20,28,28,1,1,120,40,1,
CONV2D_21,28,28,1,1,40,240,1,
DEPTHWISE_CONV2D_22,31,31,5,5,240,1,2,
CONV2D_23,14,14,1,1,240,80,1,
CONV2D_24,14,14,1,1,80,480,1,
DEPTHWISE_CONV2D_25,18,18,5,5,480,1,1,
CONV2D_26,14,14,1,1,480,80,1,
CONV2D_27,14,14,1,1,80,480,1,
DEPTHWISE_CONV2D_28,18,18,5,5,480,1,1,
CONV2D_29,14,14,1,1,480,80,1,
CONV2D_30,14,14,1,1,80,480,1,
DEPTHWISE_CONV2D_31,16,16,3,3,480,1,1,
CONV2D_32,14,14,1,1,480,96,1,
CONV2D_33,14,14,1,1,96,576,1,
DEPTHWISE_CONV2D_34,16,16,3,3,576,1,1,
CONV2D_35,14,14,1,1,576,96,1,
CONV2D_36,14,14,1,1,96,576,1,
DEPTHWISE_CONV2D_37,17,17,5,5,576,1,2,
CONV2D_38,7,7,1,1,576,192,1,
CONV2D_39,7,7,1,1,192,1152,1,
DEPTHWISE_CONV2D_40,11,11,5,5,1152,1,1,
CONV2D_41,7,7,1,1,1152,192,1,
CONV2D_42,7,7,1,1,192,1152,1,
DEPTHWISE_CONV2D_43,11,11,5,5,1152,1,1,
CONV2D_44,7,7,1,1,1152,192,1,
CONV2D_45,7,7,1,1,192,1152,1,
DEPTHWISE_CONV2D_46,11,11,5,5,1152,1,1,
CONV2D_47,7,7,1,1,1152,192,1,
CONV2D_48,7,7,1,1,192,1152,1,
DEPTHWISE_CONV2D_49,9,9,3,3,1152,1,1,
CONV2D_50,7,7,1,1,1152,320,1,
CONV2D_51,7,7,1,1,320,1280,1,
