Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
CONV2D_0,225,225,3,3,3,32,2,
DEPTHWISE_CONV2D_1,114,114,3,3,32,1,1,
CONV2D_2,112,112,1,1,32,16,1,
CONV2D_3,112,112,1,1,16,96,1,
DEPTHWISE_CONV2D_4,113,113,3,3,96,1,2,
CONV2D_5,56,56,1,1,96,24,1,
CONV2D_6,56,56,1,1,24,144,1,
DEPTHWISE_CONV2D_7,58,58,3,3,144,1,1,
CONV2D_8,56,56,1,1,144,24,1,
CONV2D_10,56,56,1,1,24,144,1,
DEPTHWISE_CONV2D_11,57,57,3,3,144,1,2,
CONV2D_12,28,28,1,1,144,32,1,
CONV2D_13,28,28,1,1,32,192,1,
DEPTHWISE_CONV2D_14,30,30,3,3,192,1,1,
CONV2D_15,28,28,1,1,192,32,1,
CONV2D_17,28,28,1,1,32,192,1,
DEPTHWISE_CONV2D_18,30,30,3,3,192,1,1,
CONV2D_19,28,28,1,1,192,32,1,
CONV2D_21,28,28,1,1,32,192,1,
DEPTHWISE_CONV2D_22,29,29,3,3,192,1,2,
CONV2D_23,14,14,1,1,192,64,1,
CONV2D_24,14,14,1,1,64,384,1,
DEPTHWISE_CONV2D_25,16,16,3,3,384,1,1,
CONV2D_26,14,14,1,1,384,64,1,
CONV2D_28,14,14,1,1,64,384,1,
DEPTHWISE_CONV2D_29,16,16,3,3,384,1,1,
CONV2D_30,14,14,1,1,384,64,1,
CONV2D_32,14,14,1,1,64,384,1,
DEPTHWISE_CONV2D_33,16,16,3,3,384,1,1,
CONV2D_34,14,14,1,1,384,64,1,
CONV2D_36,14,14,1,1,64,384,1,
DEPTHWISE_CONV2D_37,16,16,3,3,384,1,1,
CONV2D_38,14,14,1,1,384,96,1,
CONV2D_39,14,14,1,1,96,576,1,
DEPTHWISE_CONV2D_40,16,16,3,3,576,1,1,
CONV2D_41,14,14,1,1,576,96,1,
CONV2D_43,14,14,1,1,96,576,1,
DEPTHWISE_CONV2D_44,16,16,3,3,576,1,1,
CONV2D_45,14,14,1,1,576,96,1,
CONV2D_47,14,14,1,1,96,576,1,
DEPTHWISE_CONV2D_48,15,15,3,3,576,1,2,
CONV2D_49,7,7,1,1,576,160,1,
CONV2D_50,7,7,1,1,160,960,1,
DEPTHWISE_CONV2D_51,9,9,3,3,960,1,1,
CONV2D_52,7,7,1,1,960,160,1,
CONV2D_54,7,7,1,1,160,960,1,
DEPTHWISE_CONV2D_55,9,9,3,3,960,1,1,
CONV2D_56,7,7,1,1,960,160,1,
CONV2D_58,7,7,1,1,160,960,1,
DEPTHWISE_CONV2D_59,9,9,3,3,960,1,1,
CONV2D_60,7,7,1,1,960,320,1,
CONV2D_61,7,7,1,1,320,1280,1,
