Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
CONV2D_stem,224,224,7,7,3,96,2,
Fire2_squeeze,54,54,1,1,96,16,1,
Fire2_expand1x1,54,54,1,1,16,64,1,
Fire2_expand3x3,56,56,3,3,16,64,1,
Fire3_squeeze,54,54,1,1,128,16,1,
Fire3_expand1x1,54,54,1,1,16,64,1,
Fire3_expand3x3,56,56,3,3,16,64,1,
Fire4_squeeze,54,54,1,1,128,32,1,
Fire4_expand1x1,54,54,1,1,32,128,1,
Fire4_expand3x3,56,56,3,3,32,128,1,
Fire5_squeeze,27,27,1,1,256,32,1,
Fire5_expand1x1,27,27,1,1,32,128,1,
Fire5_expand3x3,29,29,3,3,32,128,1,
Fire6_squeeze,27,27,1,1,256,48,1,
Fire6_expand1x1,27,27,1,1,48,192,1,
Fire6_expand3x3,29,29,3,3,48,192,1,
Fire7_squeeze,27,27,1,1,384,48,1,
Fire7_expand1x1,27,27,1,1,48,192,1,
Fire7_expand3x3,29,29,3,3,48,192,1,
Fire8_squeeze,27,27,1,1,384,64,1,
Fire8_expand1x1,27,27,1,1,64,256,1,
Fire8_expand3x3,29,29,3,3,64,256,1,
Fire9_squeeze,13,13,1,1,512,64,1,
Fire9_expand1x1,13,13,1,1,64,256,1,
Fire9_expand3x3,15,15,3,3,64,256,1,
CONV2D_classifier,13,13,1,1,512,1000,1,
