Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
CONV2D_0,226,226,3,3,3,64,1,
CONV2D_1,226,226,3,3,64,64,1,
CONV2D_3,114,114,3,3,64,128,1,
CONV2D_4,114,114,3,3,128,128,1,
CONV2D_6,58,58,3,3,128,256,1,
CONV2D_7,58,58,3,3,256,256,1,
CONV2D_8,58,58,3,3,256,256,1,
CONV2D_10,30,30,3,3,256,512,1,
CONV2D_11,30,30,3,3,512,512,1,
CONV2D_12,30,30,3,3,512,512,1,
CONV2D_14,16,16,3,3,512,512,1,
CONV2D_15,16,16,3,3,512,512,1,
CONV2D_16,16,16,3,3,512,512,1,
