Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
CONV2D_3,229,229,7,7,3,64,2,
CONV2D_8,56,56,1,1,64,128,1,
CONV2D_9,58,58,3,3,128,32,1,
CONV2D_13,56,56,1,1,96,128,1,
CONV2D_14,58,58,3,3,128,32,1,
CONV2D_18,56,56,1,1,128,128,1,
CONV2D_19,58,58,3,3,128,32,1,
CONV2D_23,56,56,1,1,160,128,1,
CONV2D_24,58,58,3,3,128,32,1,
CONV2D_28,56,56,1,1,192,128,1,
CONV2D_29,58,58,3,3,128,32,1,
CONV2D_33,56,56,1,1,224,128,1,
CONV2D_34,58,58,3,3,128,32,1,
CONV2D_38,56,56,1,1,256,128,1,
CONV2D_42,28,28,1,1,128,128,1,
CONV2D_43,30,30,3,3,128,32,1,
CONV2D_47,28,28,1,1,160,128,1,
CONV2D_48,30,30,3,3,128,32,1,
CONV2D_52,28,28,1,1,192,128,1,
CONV2D_53,30,30,3,3,128,32,1,
CONV2D_57,28,28,1,1,224,128,1,
CONV2D_58,30,30,3,3,128,32,1,
CONV2D_62,28,28,1,1,256,128,1,
CONV2D_63,30,30,3,3,128,32,1,
CONV2D_67,28,28,1,1,288,128,1,
CONV2D_68,30,30,3,3,128,32,1,
CONV2D_72,28,28,1,1,320,128,1,
CONV2D_73,30,30,3,3,128,32,1,
CONV2D_77,28,28,1,1,352,128,1,
CONV2D_78,30,30,3,3,128,32,1,
CONV2D_82,28,28,1,1,384,128,1,
CONV2D_83,30,30,3,3,128,32,1,
CONV2D_87,28,28,1,1,416,128,1,
CONV2D_88,30,30,3,3,128,32,1,
CONV2D_92,28,28,1,1,448,128,1,
CONV2D_93,30,30,3,3,128,32,1,
CONV2D_97,28,28,1,1,480,128,1,
CONV2D_98,30,30,3,3,128,32,1,
CONV2D_102,28,28,1,1,512,256,1,
CONV2D_106,14,14,1,1,256,128,1,
CONV2D_107,16,16,3,3,128,32,1,
CONV2D_111,14,14,1,1,288,128,1,
CONV2D_112,16,16,3,3,128,32,1,
CONV2D_116,14,14,1,1,320,128,1,
CONV2D_117,16,16,3,3,128,32,1,
CONV2D_121,14,14,1,1,352,128,1,
CONV2D_122,16,16,3,3,128,32,1,
CONV2D_126,14,14,1,1,384,128,1,
